Date,Open,High,Low,Close,Adj Close,Volume
2019-10-18,23.360001,23.940001,22.940001,23.660000,21.154465,3045615
2019-10-21,23.750000,24.010000,23.660000,23.740000,21.225992,1926017
2019-10-22,23.770000,24.040001,23.549999,24.040001,21.494225,2078279
2019-10-23,23.559999,24.860001,23.549999,24.820000,22.191622,4625883
2019-10-24,24.900000,25.340000,24.760000,25.040001,22.388327,3882535
2019-10-25,24.840000,25.120001,24.559999,24.840000,22.209505,2389222
2019-10-28,24.900000,25.180000,24.799999,24.860001,22.227388,2496725
2019-10-29,24.799999,25.020000,24.660000,24.920000,22.281033,2028824
2019-10-30,26.110001,27.059999,25.450001,26.049999,23.291368,10509826
2019-10-31,24.750000,24.799999,22.330000,22.700001,20.296127,16648477
2019-11-01,22.740000,23.570000,22.559999,23.360001,20.886234,6531699
2019-11-04,23.700001,24.639999,23.700001,24.150000,21.592573,6210082
2019-11-05,24.320000,24.530001,24.030001,24.410000,21.825041,3241932
2019-11-06,24.500000,24.540001,23.879999,24.000000,21.458458,3394795
2019-11-07,24.170000,24.450001,23.959999,24.000000,21.458458,3373653
2019-11-08,23.930000,24.129999,23.770000,24.120001,21.565752,2368727
2019-11-11,24.070000,24.160000,23.780001,24.010000,21.467400,2559080
2019-11-12,24.190001,24.530001,24.040001,24.309999,21.735630,3214065
2019-11-13,24.330000,24.350000,23.639999,23.799999,21.279638,2461796
2019-11-14,23.670000,23.969999,23.459999,23.629999,21.127640,2498236
2019-11-15,23.940001,24.080000,23.709999,23.790001,21.270699,2174835
2019-11-18,23.389999,23.620001,22.799999,23.010000,20.573298,3921504
2019-11-19,23.120001,23.309999,22.670000,22.700001,20.296127,3482321
2019-11-20,22.520000,22.610001,22.370001,22.500000,20.117306,3225230
2019-11-21,22.309999,22.830000,22.000000,22.469999,20.090481,5674751
2019-11-22,22.320000,22.719999,22.270000,22.549999,20.162010,3074810
2019-11-25,22.799999,22.850000,22.400000,22.400000,20.027895,2042092
2019-11-26,22.500000,22.600000,22.230000,22.250000,19.893780,2851024
2019-11-27,22.459999,22.639999,22.260000,22.430000,20.054718,2235825
